0,6870.0,0.0,0.0
100,6827.81617373,715.086366592,260.270152369
200,6701.78608141,1421.39151922,517.344204234
300,6493.46719055,2110.24416066,768.066061513
400,6205.433072,2773.19134841,1009.35910475
500,5841.24042889,3402.10400025,1238.26458997
600,5405.38361305,3989.27806277,1451.97847106
700,4903.23728777,4527.53001121,1647.88615883
800,4340.98806091,5010.28544159,1823.59476592
900,3725.55606085,5431.65962917,1976.96242768
1000,3064.50755744,5786.52905459,2106.12433559
1100,2365.95983912,6070.59304034,2209.51517103
1200,1638.47964415,6280.42479037,2285.88768224
1300,890.976508484,6413.51128223,2334.32720386
1400,132.592434051,6468.28162048,2354.26197671
1500,-627.410698459,6444.12361969,2345.4691835
1600,-1379.76455009,6341.38854155,2308.07667304
1700,-2115.3071756,6161.3840618,2242.56040038
1800,-2825.09394368,5906.35568609,2149.73766273
1900,-3500.50521637,5579.45696853,2030.75625991
2000,-4133.34954635,5184.70901054,1887.07975317
2100,-4715.96122985,4726.94983058,1720.4690372
2200,-5241.29114156,4211.77429656,1532.9604774
2300,-5702.98987376,3645.46540194,1326.84089635
2400,-6095.48230332,3034.91774467,1104.61972251
2500,-6414.03281617,2387.55413423,868.998637558
2600,-6654.80052694,1711.23630811,622.839079948
2700,-6814.88394213,1014.17078473,369.127978105
2800,-6892.35462635,304.810915758,110.942100415
2900,-6886.27954319,-408.243771587,-148.588581182
3000,-6796.7318544,-1116.3498329,-406.318110204
3100,-6624.79007335,-1810.92264527,-659.121939436
3200,-6372.52558086,-2483.53850258,-903.934090592
3300,-6042.97862381,-3126.03494822,-1137.78367243
3400,-5640.12302912,-3730.60823799,-1357.83035434
3500,-5168.81997781,-4289.90684626,-1561.39839981
3600,-4634.76129576,-4797.11995694,-1746.00887453
3700,-4044.40282908,-5246.05991826,-1909.40965742
3800,-3404.88858201,-5631.23768775,-2049.60290042
3900,-2723.96640358,-5947.93035079,-2164.86960318
4000,-2009.89611419,-6192.23986437,-2253.79099407
4100,-1271.35106437,-6361.14225733,-2315.2664376
4200,-517.314212512,-6452.52660906,-2348.52762151
4300,243.030103832,-6465.22323197,-2353.14881432
4400,1000.40745138,-6399.02059727,-2329.05302586
4500,1745.5663213,-6254.67066932,-2276.51394877
4600,2469.39151645,-6033.88244966,-2196.15360874
4700,3163.01649959,-5739.30367665,-2088.93570372
4800,3817.93327893,-5374.49077849,-1956.15466771
4900,4426.09840858,-4943.86733438,-1799.42055187
5000,4980.03370466,-4452.67145834,-1620.6398738
5100,5472.92032248,-3906.89267926,-1421.99264372
5200,5898.68490817,-3313.19904653,-1205.90583314
5300,6252.07662797,-2678.85534002,-975.023605674
5400,6528.73399064,-2011.63340215,-732.174680639
5500,6725.24051096,-1319.71573571,-480.337245492
5600,6839.16841332,-611.593620931,-222.601873486
5700,6869.10974154,104.038904423,37.8670644158
5800,6814.69442113,818.39378883,297.870979042
5900,6676.59500931,1522.6989758,554.217102938
6000,6456.51806325,2208.30819735,803.758451922
6100,6157.18225305,2866.80907552,1043.43317081
6200,5782.2835397,3490.12808385,1270.3027363
6300,5336.44792535,4070.63097353,1481.58850905
6400,4825.17245979,4601.2173446,1674.70615482
6500,4254.75534955,5075.40813867,1847.29748923
6600,3632.2161624,5487.42494456,1997.25934259
6700,2965.20724644,5832.26013828,2122.76908883
6800,2261.91758893,6105.73702104,2222.30653392
6900,1530.97042369,6304.55927066,2294.67191469
7000,781.315956757,6426.34917876,2338.99981607
7100,22.1206187455,6469.67430575,2354.76887269
7200,-737.345731445,6434.06234486,2341.80717894
7300,-1487.8232308,6320.00414204,2300.29338814
7400,-2220.17466715,6128.94496875,2230.75353608
7500,-2925.49600863,5863.26428698,2134.0536761
7600,-3595.22350754,5526.24437887,2011.38846119
7700,-4221.2361482,5122.02833566,1864.26585325
7800,-4795.95228886,4655.56801188,1694.48817992
7900,-5312.41943747,4132.56265046,1504.12979601
8000,-5764.39619809,3559.38897173,1295.51163789
8100,-6146.42552664,2943.0235956,1071.17298754
8200,-6453.89854111,2290.95873126,833.840786111
8300,-6683.10824009,1611.1121228,586.396856765
8400,-6831.2925938,911.732283516,331.843412819
8500,-6896.66658368,201.300086555,73.2672396614
8600,-6878.44287812,-511.572194385,-186.197051434
8700,-6776.84094452,-1218.24328287,-443.40429306
8800,-6593.0845098,-1910.1456147,-695.236146864
8900,-6329.38739377,-2578.88724653,-938.638195266
9000,-5988.92785218,-3216.35184022,-1170.65633277
9100,-5575.81167815,-3814.7956181,-1388.4720548
9200,-5095.02442304,-4366.94020579,-1589.43624973
9300,-4552.37320971,-4866.06030909,-1771.10111065
9400,-3954.41872186,-5306.06521016,-1931.24979757
9500,-3308.39806358,-5681.5731169,-2067.92349836
9600,-2622.13929048,-5987.97745832,-2179.44555829
9700,-1903.96851875,-6221.50428832,-2264.44237331
9800,-1162.61061845,-6379.26004144,-2321.86077173
9900,-407.084591149,-6459.26897709,-2350.98164278
10000,353.405181767,-6460.49975325,-2351.42960867
10100,1109.58055783,-6382.88068684,-2323.17857888
10200,1852.20279307,-6227.30338511,-2266.55307192
10300,2572.18586618,-5995.61456973,-2182.22523952
10400,3260.70855779,-5690.59606107,-2071.20758146
10500,3909.32385983,-5315.93304296,-1934.84139499
10600,4510.06429468,-4876.17088602,-1774.78105971
10700,5055.54175006,-4376.66096694,-1592.97431744
10800,5539.04048338,-3823.49608038,-1391.63876409
10900,5954.60202062,-3223.43619503,-1173.23482705
11000,6297.100768,-2583.82545344,-940.43555559
11100,6562.30926984,-1912.50145242,-696.093601672
