time	x	y	z
1500453785.6783006	-4991245.33968	-2085480.92675	-2162630.42749
1500453786.6783006	-4985394.2519	-2100072.93597	-2196081.07473
1500453787.6783006	-5007578.06084	-2104571.43956	-2194883.36826
1500453788.6783006	-4982889.2236	-2106522.72802	-2188961.10778
1500453789.6783006	-4995858.2582	-2091713.67852	-2179169.20398
1500453790.6783006	-4973926.77109	-2116559.16544	-2167337.35536
1500453791.6783006	-4976414.91473	-2114159.82725	-2188657.81798
1500453792.6783006	-4949042.3828	-2135093.44771	-2198873.88059
1500453793.6783006	-4953907.31366	-2130215.74008	-2196540.87494
1500453794.6783006	-4933009.98706	-2127860.47083	-2190091.18113
1500453795.6783006	-4929057.02051	-2165223.05978	-2181338.81429
1500453796.6783006	-4944074.90541	-2160821.35674	-2211033.9149
1500453797.6783006	-4947851.8515	-2163686.31941	-2187363.51041
1500453798.6783006	-4924075.97524	-2190114.94962	-2212828.97959
1500453799.6783006	-4916185.73306	-2190467.39678	-2204076.82444
1500453800.6783006	-4915681.14426	-2199536.32687	-2193796.2822
1500453801.6783006	-4910091.80186	-2177961.69112	-2197986.77539
1500453802.6783006	-4901623.47743	-2194304.86011	-2233266.58043
1500453803.6783006	-4886399.71043	-2226783.19214	-2202017.79391
1500453804.6783006	-4893424.75171	-2202843.06713	-2224903.26976
1500453805.6783006	-4903954.28871	-2218973.83948	-2235087.83967
1500453806.6783006	-4867501.7339	-2246188.11849	-2207039.88156
1500453807.6783006	-4896462.86713	-2232953.47496	-2235703.5799
1500453808.6783006	-4862909.01415	-2229905.96791	-2241360.49325
1500453809.6783006	-4849112.16809	-2262571.46217	-2236880.56444
1500453810.6783006	-4877578.0554	-2241832.15126	-2246723.74132
1500453811.6783006	-4837351.42958	-2265721.85442	-2242410.51033
1500453812.6783006	-4839856.61591	-2285223.8494	-2249701.72532
1500453813.6783006	-4848097.1425	-2269672.16157	-2248779.706
1500453814.6783006	-4821161.85593	-2264916.56883	-2255247.87547
1500453815.6783006	-4847332.10127	-2300758.53091	-2246340.53169
1500453816.6783006	-4828567.27244	-2290584.24761	-2226830.0856
1500453817.6783006	-4821786.3976	-2304667.73417	-2259903.14397
1500453818.6783006	-4797592.28636	-2291804.72715	-2241011.7085
1500453819.6783006	-4792943.12489	-2324155.37414	-2252094.57735
1500453820.6783006	-4822495.70417	-2318190.60882	-2241017.2681
1500453821.6783006	-4804325.23538	-2335247.28333	-2263733.56916
1500453822.6783006	-4784851.50631	-2339818.70392	-2274151.85525
1500453823.6783006	-4773738.23716	-2359286.54433	-2250290.63575
1500453824.6783006	-4802939.91019	-2369361.89543	-2259384.36975
1500453825.6783006	-4770724.76317	-2357773.39418	-2251901.01778
1500453826.6783006	-4756868.43755	-2351881.17768	-2269362.12854
1500453827.6783006	-4782601.04665	-2364628.15859	-2251075.23838
1500453828.6783006	-4767813.86614	-2364076.87104	-2275856.21414
1500453829.6783006	-4762195.81022	-2382937.01627	-2279302.69374
1500453830.6783006	-4750702.193	-2374620.06234	-2284128.21979
1500453831.6783006	-4757389.82589	-2388160.79807	-2293645.84839
1500453832.6783006	-4751815.55502	-2405357.9467	-2264340.86911
1500453833.6783006	-4740463.87419	-2394608.45992	-2269922.05757
1500453834.6783006	-4709971.61142	-2421902.04409	-2284871.75423
1500453835.6783006	-4728401.0862	-2428582.62463	-2299700.53973
1500453836.6783006	-4729812.04496	-2441715.62795	-2268951.0
1500453837.6783006	-4702352.67418	-2417960.87153	-2305700.73259
1500453838.6783006	-4711694.34899	-2456086.44118	-2297116.11845
1500453839.6783006	-4679735.81459	-2462183.19141	-2279026.30317
1500453840.6783006	-4703457.82875	-2474322.91529	-2312771.76062
1500453841.6783006	-4673662.40436	-2462269.4147	-2302587.1538
1500453842.6783006	-4687561.35633	-2476877.15251	-2282167.5615
1500453843.6783006	-4690606.17349	-2485557.44101	-2295220.9733
1500453844.6783006	-4674959.24774	-2488678.70417	-2309218.74372
1500453845.6783006	-4662308.41666	-2498850.76579	-2296484.26478
1500453846.6783006	-4642604.0262	-2514062.77794	-2302554.6691
1500453847.6783006	-4634286.82275	-2509011.98196	-2295059.41186
1500453848.6783006	-4637001.33179	-2513875.09411	-2314132.97765
1500453849.6783006	-4645587.18271	-2522328.80071	-2307765.87248
1500453850.6783006	-4646845.15975	-2538402.55361	-2323289.46895
1500453851.6783006	-4635768.85067	-2539464.92371	-2299205.25056
1500453852.6783006	-4605548.12668	-2546517.4342	-2304798.24828
1500453853.6783006	-4616156.49526	-2534427.82491	-2328960.35102
1500453854.6783006	-4624876.21166	-2564442.79628	-2325937.12296
1500453855.6783006	-4616907.68288	-2569521.03995	-2330142.06098
1500453856.6783006	-4612806.68722	-2544381.94373	-2329198.6869
1500453857.6783006	-4584727.02756	-2562083.04598	-2312242.37059
1500453858.6783006	-4589400.35995	-2570316.25278	-2327535.23539
