0,1246.82723889,-93.1353191648,6701.14059141
100,433.68782269,-62.2741831375,6824.67512556
200,-368.637327671,70.2859330081,6791.02373323
300,-1156.93741068,89.0237002103,6699.99692574
400,-1783.0296001,-13.8129465375,6557.87852564
500,-2552.91515379,-9.65217336515,6433.54397716
600,-3278.53660951,-95.4374087546,6008.34987595
700,-3818.90649425,-21.2529615129,5736.62061605
800,-4411.97894804,-30.450911959,5108.98609106
900,-5074.25856433,-91.8217701874,4648.94471606
1000,-5565.52856806,62.1702208436,4117.1125332
1100,-5967.42312838,-85.3373543983,3427.63470437
1200,-6392.27829498,68.7740880206,2817.69769027
1300,-6566.51655874,20.9890969711,2154.32090412
1400,-6699.09702862,22.7005915399,1327.22383372
1500,-6829.74613435,-88.7682359644,643.230353724
1600,-6821.42609912,-47.2214580474,-242.104182343
1700,-6785.42284839,91.0556545675,-969.089768171
1800,-6744.46272303,-61.8825244332,-1674.27621707
1900,-6484.01945196,-41.6233565133,-2443.30733894
2000,-6080.93054258,-27.3523860558,-3107.94563132
2100,-5797.10388686,-42.4742032059,-3755.5453451
2200,-5329.58083339,-22.0623746345,-4381.25434613
2300,-4909.48239578,-50.6949050642,-4963.86467893
2400,-4287.96187919,-35.5576784916,-5351.66276849
2500,-3693.52316186,-12.2007807781,-5864.46501072
2600,-2933.4625519,-55.6453972665,-6188.6865616
2700,-2219.09572892,-66.8710484398,-6490.34053131
2800,-1575.02685966,-88.7807576437,-6716.71581423
2900,-835.374369207,-67.392251362,-6822.61150296
3000,9.99050105642,-46.2517667259,-6969.37230592
3100,804.19204017,-20.9888652687,-6908.78600214
3200,1515.83669114,-43.8330520164,-6708.71661268
3300,2257.37846652,-58.8551415068,-6435.63299802
3400,3015.02950019,-81.8859104466,-6173.98827956
3500,3645.67698558,5.87424865824,-5805.24888011
3600,4206.09601505,8.04385632742,-5546.31307795
3700,4846.53535372,39.0820055618,-5028.81662797
3800,5285.23279308,-37.8843945754,-4423.68649406
3900,5694.9236724,76.9159145183,-3808.95525591
4000,6068.87122435,88.9107866117,-3187.68218908
4100,6398.68039595,-64.1834255429,-2373.55592806
4200,6746.31758587,48.4532494616,-1777.63213743
4300,6880.60725945,17.4855950459,-885.169422543
4400,6935.98784523,87.2549774044,-135.259335718
4500,6817.07594516,-16.5185409762,536.220289249
4600,6818.43819831,-45.7834691538,1275.90434232
4700,6659.51550148,-69.5241103576,2122.12800803
4800,6324.71814692,54.4054222771,2823.44682405
4900,5943.82459555,-0.155305124743,3365.20899893
5000,5449.25676712,26.8060251025,4155.80238157
5100,5105.03330383,72.4140564839,4730.72799119
5200,4397.43702621,-24.7510394674,5258.76622733
5300,3972.3938032,-29.0734546739,5693.0062643
5400,3244.83035825,-51.5021113103,6000.59969791
5500,2605.12431714,32.9797687413,6422.9746391
5600,1739.56887765,-89.6716882353,6689.21575818
5700,1074.02129138,20.6876887348,6774.2263409
5800,324.634253058,66.0383592188,6792.65205062
5900,-402.080839382,-64.621965406,6904.59494595
6000,-1217.97180826,7.58705953461,6740.83212772
6100,-1837.36966858,-11.6747973208,6638.34827164
6200,-2721.11994224,25.2232027254,6405.04018433
6300,-3331.33636366,-2.36012148393,5969.39537924
6400,-4011.5234819,86.517158627,5542.54410244
6500,-4496.42049999,-43.1124497552,5086.1706445
6600,-5060.29511292,29.1957853966,4650.41729496
6700,-5693.24616124,-48.5977587563,4097.86811881
6800,-5959.36418784,-63.6309384614,3284.94288322
6900,-6386.67511283,29.4286527667,2592.34447151
7000,-6626.74592948,-43.0991950856,2036.5165814
7100,-6731.35145245,61.4923451933,1166.69220781
7200,-6922.53777847,-35.0779980775,558.470658545
7300,-6932.69943512,32.4495254574,-283.869036208
7400,-6708.9036045,80.7094927562,-1116.31176653
7500,-6641.71865909,-7.18769287944,-1764.30926162
7600,-6424.21668814,74.3907163238,-2576.21709293
7700,-6071.0629077,90.6240356401,-3121.64149776
7800,-5757.18554885,-12.6795302234,-3884.4886062
7900,-5261.34459471,10.5034968658,-4548.82772211
8000,-4828.29804442,-11.3108395915,-4947.92749415
8100,-4087.69914461,-98.4052631984,-5468.16489876
8200,-3554.1732652,91.3236136161,-6029.28428518
8300,-2825.77713011,-2.99859659699,-6341.97472267
8400,-2140.4746446,-36.8160674423,-6469.74577263
8500,-1335.05683603,48.2425657116,-6850.6072243
8600,-652.786682095,-84.3071566329,-6793.68242993
8700,47.6211110766,56.5252942903,-6996.06238574
8800,861.921753134,-18.3900109245,-6758.58089598
8900,1614.70401087,-67.9521715788,-6787.0400934
9000,2359.20760922,42.4691682399,-6529.21819075
9100,3124.62989308,80.4561896896,-6144.01127136
9200,3668.07092341,-33.5797262108,-5852.22749208
9300,4341.21322662,-11.46015544,-5453.31326581
9400,4856.4642831,80.8869203668,-4842.9003689
9500,5360.15527234,-94.1628430506,-4337.19511582
9600,5763.63856087,60.0510736217,-3725.71680321
9700,6180.52341255,-97.0215393003,-2993.00570763
9800,6580.24375144,-83.5887518797,-2292.3102744
9900,6791.19351961,4.83548865632,-1606.7737061
10000,6796.04565329,-56.2782635387,-816.351038362
10100,6834.59453795,22.9962523261,-82.9636685403
10200,6803.84241415,-18.4133457305,612.186808661
10300,6821.34361123,-84.7495664358,1497.48596925
10400,6481.02413121,-72.3994237253,2125.09294842
10500,6272.59011157,67.6253959725,2887.5893827
10600,5992.48038992,-61.670868908,3538.55354075
10700,5377.4775146,-95.141517384,4179.07515261
10800,4888.9105043,54.3245425282,4684.06809602
10900,4398.59177153,58.4302762099,5217.36879654
