0,4415.95087855,5262.72532423,0.0
100,4388.83563769,5230.41063852,760.979016728
200,4307.8250559,5133.86598663,1512.61326074
300,4173.92025399,4974.2844579,2245.67493027
400,3988.77549142,4753.63752196,2951.1685918
500,3754.67697289,4474.64977148,3620.44345671
600,3474.51361207,4140.76407971,4245.30104263
700,3151.74017593,3756.09767759,4818.09680214
800,2790.33333935,3325.38978171,5331.8344007
900,2394.74127511,2853.94151794,5780.25144502
1000,1969.82748771,2347.54898527,6157.89559968
1100,1520.8096696,1812.4303874,6460.19017927
1200,1053.19441399,1255.14822657,6683.48846362
1300,572.708660175,682.527603274,6825.11615007
1400,85.2287737461,101.571697304,6883.40152663
1500,-403.291823154,-480.624479108,6857.69311916
1600,-886.895557084,-1056.96096641,6748.36473255
1700,-1359.69324316,-1620.41930736,6556.80796626
1800,-1815.9353832,-2164.14751684,6285.41243747
1900,-2250.08138073,-2681.54256911,5937.53408839
2000,-2656.8658749,-3166.32945145,5517.45208577
2100,-3031.36144631,-3612.63589409,5030.31494132
2200,-3369.03700456,-4015.06195376,4482.07658909
2300,-3665.81122902,-4368.74370196,3879.42325108
2400,-3918.10049964,-4669.41034659,3229.69200517
2500,-4122.86082236,-4913.43419681,2540.78204023
2600,-4277.62332365,-5097.87296373,1821.05964255
2700,-4380.52295945,-5220.50397437,1079.25800661
2800,-4430.32015538,-5279.84996152,324.373001358
2900,-4426.4151672,-5275.19617782,-434.443947474
3000,-4368.85502237,-5206.59866843,-1187.99467848
3100,-4258.33297592,-5074.88362252,-1927.14362677
3200,-4096.18048579,-4881.63780985,-2642.92647153
3300,-3884.35178498,-4629.19019465,-3326.65690788
3400,-3625.40120022,-4320.58490496,-3970.03036468
3500,-3322.45343843,-3959.54582148,-4565.22351179
3600,-2979.16713477,-3550.4331358,-5104.98843007
3700,-2599.69202711,-3098.19231295,-5582.74035808
3800,-2188.62019288,-2608.29597769,-5992.63797883
3900,-1750.93185342,-2086.6793267,-6329.65527154
4000,-1291.93631896,-1539.66974953,-6589.6440255
4100,-817.208711739,-973.911418114,-6769.38619781
4200,-332.523166117,-396.285677841,-6866.63539367
4300,156.216739524,186.171860551,-6880.14685756
4400,643.049514382,766.356568981,-6809.69548523
4500,1122.02840322,1337.18138053,-6656.08150044
4600,1587.29427024,1891.66364906,-6421.12358466
4700,2033.14781517,2423.011213,-6107.63940218
4800,2454.1202063,2924.70657252,-5719.41362485
4900,2845.04121629,3390.58809059,-5261.15372731
5000,3201.10396118,3814.927146,-4738.4339941
5100,3517.92537209,4192.50020067,-4157.62834872
5200,3791.60157242,4518.65479562,-3525.8327811
5300,4018.75739127,4789.36855881,-2850.77830853
5400,4196.58931612,5001.30039413,-2140.73555294
5500,4322.90127261,5151.83312206,-1404.41215193
5600,4396.13271664,5239.10695858,-650.844337183
5700,4415.37863144,5262.04334668,110.71588956
5800,4380.4011377,5220.35879286,870.916479205
5900,4291.63254688,5114.56850584,1620.42240422
6000,4150.16981278,4945.97978425,2350.0324984
6100,3957.76046284,4716.67525022,3050.7944961
6200,3716.78021501,4429.48617412,3714.11672993
6300,3430.20260616,4087.95627921,4331.87500198
6400,3101.56107176,3696.29654992,4896.51322446
6500,2734.90402094,3259.33169236,5401.13652741
6600,2334.74354489,2782.43900741,5839.59565413
6700,1905.99847816,2271.48053383,6206.56160246
6800,1453.9326003,1732.72939979,6497.58962238
6900,984.088819142,1172.79138564,6709.1718411
7000,502.220216254,598.522746994,6838.7779542
7100,14.2188596482,16.9453770684,6884.88359133
7200,-473.956700228,-564.839600231,6846.98613413
7300,-956.354338162,-1139.7387183,6725.60792992
7400,-1427.10076739,-1700.75246653,6522.28700447
7500,-1880.47258654,-2241.05996078,6239.55552835
7600,-2310.9651247,-2754.10098972,5880.90643327
7700,-2713.35829363,-3233.65449442,5450.7487048
7800,-3082.77870792,-3673.91260034,4954.35199649
7900,-3414.75739186,-4069.54938959,4397.78131599
8000,-3705.28245346,-4415.78367548,3787.82262731
8100,-3950.84617238,-4708.43511972,3131.90029431
8200,-4148.4860164,-4943.97311387,2437.98735947
8300,-4295.81917092,-5119.55793008,1714.50971005
8400,-4391.07023744,-5233.0737308,970.245230567
8500,-4433.09182813,-5283.15311247,214.21907771
8600,-4421.37785599,-5269.19294409,-544.403758281
8700,-4356.06939196,-5191.36134745,-1296.4274231
8800,-4237.95303251,-5050.59575174,-2032.73450535
8900,-4068.45179362,-4848.59204134,-2744.39448548
9000,-3849.60861869,-4587.78490141,-3422.77013683
9100,-3584.06266066,-4271.31955192,-4059.62070332
9200,-3275.01857018,-3903.01514683,-4647.20070073
9300,-2926.20909387,-3487.3202003,-5178.35322046
9400,-2541.85135793,-3029.26048765,-5646.59665596
9500,-2126.59728318,-2534.37995223,-6046.2038237
9600,-1685.47864679,-2008.67523256,-6372.27251323
9700,-1223.84737309,-1458.52450366,-6620.786575
9800,-747.311700432,-890.611403778,-6788.66674095
9900,-261.668931285,-311.844888929,-6873.81047186
10000,227.164472039,270.724075662,-6875.12023649
10100,713.224634525,849.988020522,-6792.5197513
10200,1190.57300601,1418.86965716,-6626.95784489
10300,1653.36920459,1970.40868945,-6380.39975744
10400,2095.94305975,2497.84767133,-6055.80584033
10500,2512.86493935,2994.71581917,-5657.09778429
10600,2899.01344751,3454.90969105,-5189.1126717
10700,3249.63959719,3872.76966459,-4657.54531868
10800,3560.42659227,4243.1511825,-4068.87954189
10900,3827.54439947,4561.48978888,-3430.30914975
11000,4047.69835062,4823.85905109,-2749.6496155
