time	x	y	z
1502628669.3819425	-2582626.82993	6220428.70194	69342.8972132
1502628670.3819425	-2627219.75051	6358767.32017	41482.7620771
1502628671.3819425	-2616033.08817	6340984.06283	-34471.0505506
1502628672.3819425	-2629239.81168	6269244.84145	60132.3335632
1502628673.3819425	-2525223.15491	6279801.23224	119810.497887
1502628674.3819425	-2500627.25691	6316469.11848	-14128.71163
1502628675.3819425	-2515430.42934	6268129.9922	127913.641962
1502628676.3819425	-2569604.02636	6359248.08996	93709.2796674
1502628677.3819425	-2491698.29577	6315250.73579	-11282.3365062
1502628678.3819425	-2510082.01616	6362713.92172	112272.760531
1502628679.3819425	-2585115.39704	6353692.21905	16320.9703003
1502628680.3819425	-2592472.3696	6322584.54205	147171.450944
1502628681.3819425	-2516878.7601	6335072.80726	37053.1084966
1502628682.3819425	-2539562.92322	6282605.37152	64804.8752169
1502628683.3819425	-2558910.69436	6371171.82502	62844.4864095
1502628684.3819425	-2521195.26276	6287772.15084	66229.8011577
1502628685.3819425	-2491761.14695	6336465.85158	127676.186317
1502628686.3819425	-2553405.13003	6374043.58358	136376.179444
1502628687.3819425	-2574416.14635	6258130.76094	81136.0984432
1502628688.3819425	-2545521.51278	6316915.68898	188349.795663
1502628689.3819425	-2491233.97853	6403363.70556	191562.358421
1502628690.3819425	-2469153.98416	6324700.74189	179713.782621
1502628691.3819425	-2509592.80118	6292383.51562	156926.562042
1502628692.3819425	-2413670.2121	6414383.13987	149777.734518
1502628693.3819425	-2535992.82037	6389812.34467	199070.088035
1502628694.3819425	-2497013.30377	6359629.03104	186298.021067
1502628695.3819425	-2420494.59221	6390415.20292	205388.551044
1502628696.3819425	-2463423.22994	6374483.34726	208071.022445
1502628697.3819425	-2436443.93679	6278489.4704	160876.037847
1502628698.3819425	-2464930.63793	6356835.22106	140404.166828
1502628699.3819425	-2491145.65064	6419181.49911	181977.704927
1502628700.3819425	-2458385.05672	6303354.17094	139023.451188
1502628701.3819425	-2348966.6575	6274234.84554	189786.960597
1502628702.3819425	-2386829.84016	6410823.5297	270523.304165
1502628703.3819425	-2436339.04923	6424998.4052	246778.149879
1502628704.3819425	-2449077.69003	6436088.44256	226748.522655
1502628705.3819425	-2334025.48539	6292797.57838	263128.745356
1502628706.3819425	-2451313.43804	6394404.49418	265071.380409
1502628707.3819425	-2357145.00048	6366591.57663	166966.6184
1502628708.3819425	-2377775.06825	6326604.40892	152056.742473
1502628709.3819425	-2321162.71034	6317476.36357	232839.497271
1502628710.3819425	-2352778.64869	6342914.04089	293990.773564
1502628711.3819425	-2395248.37712	6326198.80994	272020.584318
1502628712.3819425	-2417632.40028	6340452.07641	187439.340182
1502628713.3819425	-2415753.82311	6331510.78039	284951.851826
1502628714.3819425	-2350377.2159	6445588.16178	209714.561684
1502628715.3819425	-2361420.9304	6392496.11861	292022.239432
1502628716.3819425	-2344674.37007	6451825.23995	216990.281893
1502628717.3819425	-2350422.94862	6376812.89972	329620.43785
1502628718.3819425	-2406315.55512	6395299.78168	320593.400379
1502628719.3819425	-2326823.16001	6443651.85517	250440.365696
1502628720.3819425	-2262825.36291	6314711.67291	302857.129783
1502628721.3819425	-2323455.93741	6446008.86824	261236.85029
1502628722.3819425	-2241313.65947	6369833.46724	311577.254961
1502628723.3819425	-2283379.90129	6445123.7189	278356.554232
1502628724.3819425	-2247681.7703	6353721.64412	266366.999291
1502628725.3819425	-2374306.5931	6331351.87315	298480.206535
1502628726.3819425	-2350267.63847	6410756.06307	406902.185233
1502628727.3819425	-2300966.96756	6409328.6296	283822.752166
1502628728.3819425	-2232670.58223	6432496.6496	322263.716471
1502628729.3819425	-2220624.32606	6331329.99791	304150.425749
1502628730.3819425	-2332649.96002	6372797.17171	306076.688752
1502628731.3819425	-2260789.99568	6359074.43378	398444.457812
1502628732.3819425	-2274181.9951	6348372.90685	331064.207175
1502628733.3819425	-2311648.78303	6462735.51316	333708.839217
1502628734.3819425	-2308947.47684	6424546.64443	403468.36783
1502628735.3819425	-2192634.27277	6424428.90855	356222.788032
1502628736.3819425	-2178628.66653	6428164.16922	449011.539117
1502628737.3819425	-2318368.7526	6411783.07439	318300.651117
1502628738.3819425	-2219941.05803	6490900.40843	380425.831961
1502628739.3819425	-2202482.7893	6410980.56174	350064.834059
1502628740.3819425	-2222293.32776	6415405.49102	362355.177103
1502628741.3819425	-2188950.24261	6410794.20238	463327.278391
1502628742.3819425	-2188810.57311	6414328.12177	396169.523874
1502628743.3819425	-2204221.59274	6479071.74775	438588.21219
1502628744.3819425	-2158654.52875	6383305.05278	501202.114241
1502628745.3819425	-2200693.75102	6414341.45636	499347.855429
1502628746.3819425	-2162703.63628	6455825.97137	493371.875925
1502628747.3819425	-2136957.70055	6383950.49654	377409.430405
1502628748.3819425	-2150675.31725	6473065.73815	431730.699908
1502628749.3819425	-2243527.07058	6482864.78007	429604.649127
1502628750.3819425	-2093342.36565	6416829.23312	491087.847677
1502628751.3819425	-2230145.02049	6392074.36163	407424.295269
1502628752.3819425	-2223340.15492	6391090.88974	510929.175469
1502628753.3819425	-2155077.47805	6510858.29133	530775.306314
1502628754.3819425	-2076399.3468	6429967.00149	502395.275739
1502628755.3819425	-2202707.20829	6483299.6488	489418.424253
1502628756.3819425	-2179626.30892	6422519.77604	536211.50438
1502628757.3819425	-2160795.59959	6507822.63762	546055.469652
1502628758.3819425	-2119968.62517	6459189.96959	508802.47525
1502628759.3819425	-2060842.79134	6412165.86284	434645.514681
1502628760.3819425	-2154267.31132	6490339.24497	538581.270957
1502628761.3819425	-2074449.63946	6469265.68324	540538.07223
1502628762.3819425	-2069951.59339	6444448.3732	476898.460635
1502628763.3819425	-2114362.45316	6508364.71746	539549.220908
1502628764.3819425	-2030378.17131	6454428.22005	497176.916402
1502628765.3819425	-2059614.97206	6388377.86138	610125.477117
1502628766.3819425	-2068466.81988	6447739.2149	497511.936704
1502628767.3819425	-2155658.27773	6397953.81543	469933.533175
1502628768.3819425	-2137129.4312	6452255.21798	632675.639947
1502628769.3819425	-2139545.47368	6502032.57019	547174.728274
1502628770.3819425	-2133709.86877	6481711.07743	593458.306416
1502628771.3819425	-2039369.29927	6493912.24481	607195.937407
1502628772.3819425	-2117105.46563	6463630.97954	649372.649035
1502628773.3819425	-2119897.74518	6492439.10819	570989.071365
1502628774.3819425	-1966638.43448	6464487.14397	590346.400442
1502628775.3819425	-2101653.30062	6433866.78242	554667.508566
1502628776.3819425	-1962746.13222	6455919.51392	561510.257189
1502628777.3819425	-2043891.10426	6496819.36064	656202.099078
1502628778.3819425	-2073146.07384	6487517.1516	620114.40118
1502628779.3819425	-2076825.60317	6396850.27585	629595.64369
1502628780.3819425	-1988210.27499	6481204.15158	586599.719421
1502628781.3819425	-2009182.38338	6406449.95551	547668.03899
1502628782.3819425	-2068485.2012	6392465.23906	577269.973864
1502628783.3819425	-1971262.62811	6522734.51148	700233.419112
1502628784.3819425	-1934089.17574	6500287.3382	659336.553843
1502628785.3819425	-1948735.51203	6427240.31951	707252.76209
1502628786.3819425	-1939160.70824	6403924.27321	654299.036706
1502628787.3819425	-2052943.6433	6424300.61522	590449.547442
1502628788.3819425	-1980833.5667	6548754.3043	724259.868467
1502628789.3819425	-1926147.18866	6454842.05102	704286.482447
1502628790.3819425	-1934817.42534	6424140.91302	727014.299419
1502628791.3819425	-1978910.78414	6451378.69094	742814.08846
1502628792.3819425	-2005798.98031	6469711.13254	726494.393594
1502628793.3819425	-1950790.65259	6503396.75707	655748.947054
1502628794.3819425	-1999408.6138	6518158.21158	766843.808307
1502628795.3819425	-1897544.97999	6547077.81901	714252.887581
1502628796.3819425	-1890396.7041	6412099.29357	779762.532494
1502628797.3819425	-1985975.44428	6461388.72538	636365.749913
1502628798.3819425	-1949812.43163	6546068.63736	693483.300786
1502628799.3819425	-1935531.66142	6437210.97045	796102.234005
1502628800.3819425	-1946227.3715	6522917.6486	666968.422117
1502628801.3819425	-1883639.39953	6442132.58241	797213.69085
1502628802.3819425	-1922394.49256	6547061.22768	660290.939642
1502628803.3819425	-1934630.08787	6498352.99511	675787.075041
1502628804.3819425	-1914426.53791	6545448.49806	772658.941577
1502628805.3819425	-1867141.24753	6480398.89663	772619.851033
1502628806.3819425	-1940056.10385	6436450.90769	737181.754115
1502628807.3819425	-1796741.75451	6422499.98027	783022.845076
1502628808.3819425	-1887449.77744	6487050.01891	707995.839892
1502628809.3819425	-1912616.87325	6507129.33182	726061.883821
1502628810.3819425	-1791530.84023	6498387.14863	819275.578348
1502628811.3819425	-1841791.99546	6520897.118	814770.532532
1502628812.3819425	-1852478.29062	6524182.59186	855285.947939
1502628813.3819425	-1883647.77323	6553672.11076	800560.319148
1502628814.3819425	-1840691.83775	6465934.98912	855623.287616
1502628815.3819425	-1803880.15573	6454527.464	827514.462937
1502628816.3819425	-1856154.07557	6492724.81838	851699.663252
1502628817.3819425	-1827342.00327	6439116.10664	795721.340105
1502628818.3819425	-1827551.50617	6500943.44723	753657.90001
1502628819.3819425	-1849422.86208	6497676.90603	847729.441793
1502628820.3819425	-1830859.93656	6440939.09449	807510.35143
1502628821.3819425	-1795700.54357	6475762.21525	779957.768664
1502628822.3819425	-1860387.30432	6570252.47649	888498.196057
1502628823.3819425	-1844437.59198	6518659.97969	878097.809557
1502628824.3819425	-1741683.82555	6507985.66324	789725.406135
1502628825.3819425	-1793886.24208	6529455.50092	857564.154097
1502628826.3819425	-1813019.63132	6526797.55208	862252.75971
1502628827.3819425	-1740099.73789	6482907.14784	831728.886321
1502628828.3819425	-1705570.90261	6489776.47212	877703.569542
1502628829.3819425	-1713711.07203	6486617.64795	826695.354036
1502628830.3819425	-1794522.81731	6527230.89136	965031.810647
1502628831.3819425	-1726248.64586	6499190.99431	900732.077179
1502628832.3819425	-1757624.32645	6451069.95747	971490.247867
