time	x	y	z
1502628669.3819425	-2615336.08301	6298518.91536	50770.1552832
1502628670.3819425	-2573561.18172	6261758.36327	15363.230249
1502628671.3819425	-2579096.1092	6316417.79405	26404.9550124
1502628672.3819425	-2567253.56664	6284273.97534	37788.6722845
1502628673.3819425	-2572253.32547	6323288.58692	68727.1252742
1502628674.3819425	-2526428.51728	6276701.33613	24473.3064348
1502628675.3819425	-2561666.472	6287703.65813	59663.4997139
1502628676.3819425	-2570059.5264	6299146.70644	80224.8833036
1502628677.3819425	-2574220.1577	6278542.46453	82879.2694922
1502628678.3819425	-2564513.1203	6349782.07009	37593.6288158
1502628679.3819425	-2573172.10937	6291519.56149	82447.2212603
1502628680.3819425	-2510537.38539	6334344.91203	40327.9093786
1502628681.3819425	-2510117.06438	6297153.01292	77141.5115934
1502628682.3819425	-2510606.92374	6319617.66451	111244.742526
1502628683.3819425	-2518502.80069	6353939.92671	120911.062586
1502628684.3819425	-2482347.05684	6284547.78188	137360.576908
1502628685.3819425	-2492513.89122	6315251.69347	68263.7349072
1502628686.3819425	-2517639.91746	6291690.42935	82474.2030842
1502628687.3819425	-2474191.51134	6344043.47988	83300.0698934
1502628688.3819425	-2454433.58029	6368398.95539	141027.542527
1502628689.3819425	-2499318.34607	6352026.21641	113367.398811
1502628690.3819425	-2506869.73929	6310438.95745	163532.352005
1502628691.3819425	-2485665.68503	6303793.28562	119188.40287
1502628692.3819425	-2476910.58508	6349137.01898	145333.333027
1502628693.3819425	-2452463.96351	6326950.4862	161562.64492
1502628694.3819425	-2486953.16508	6375392.61649	123192.484828
1502628695.3819425	-2474477.59957	6321500.95934	128525.314518
1502628696.3819425	-2485107.50364	6362717.50542	201273.496558
1502628697.3819425	-2454642.89088	6380763.98266	145681.955954
1502628698.3819425	-2451589.76461	6312993.67758	151399.522336
1502628699.3819425	-2402083.40088	6327037.83438	143152.5426
1502628700.3819425	-2420987.97796	6338801.82009	181332.016568
1502628701.3819425	-2442031.72988	6368658.13827	167552.151338
1502628702.3819425	-2411506.74009	6378756.86992	236197.63542
1502628703.3819425	-2389956.78447	6367160.49667	220634.802151
1502628704.3819425	-2373299.929	6387572.90159	244716.514545
1502628705.3819425	-2383665.91382	6326983.50536	179019.531801
1502628706.3819425	-2392778.57999	6377449.58686	194484.205257
1502628707.3819425	-2384888.88942	6358491.25464	193813.568422
1502628708.3819425	-2384927.40607	6378045.77013	208638.33084
1502628709.3819425	-2374786.2155	6366330.50255	228912.0065
1502628710.3819425	-2359599.98841	6331893.05047	254220.716553
1502628711.3819425	-2394407.39005	6339746.76268	285895.49279
1502628712.3819425	-2341553.18225	6376401.94039	260652.193929
1502628713.3819425	-2404639.86651	6413075.55383	224595.71069
1502628714.3819425	-2381307.62841	6392373.52296	296672.144512
1502628715.3819425	-2354873.12753	6360073.26901	234951.435068
1502628716.3819425	-2336180.56356	6346001.2143	238887.780257
1502628717.3819425	-2369535.30492	6359782.36037	297361.466214
1502628718.3819425	-2318118.83038	6420331.47333	309101.483676
1502628719.3819425	-2350763.84586	6370162.07034	270176.106984
1502628720.3819425	-2291220.72204	6384771.50821	283528.26469
1502628721.3819425	-2284543.88393	6396225.88808	284355.873073
1502628722.3819425	-2358037.77552	6408492.66814	342340.594148
1502628723.3819425	-2330675.65884	6406220.05202	332330.316437
1502628724.3819425	-2294203.53922	6414140.54626	317831.293343
1502628725.3819425	-2326499.27106	6417878.41222	283588.67987
1502628726.3819425	-2259537.93932	6370365.98748	296410.061335
1502628727.3819425	-2269034.3815	6415308.65494	328621.075757
1502628728.3819425	-2261495.76359	6391085.09875	349242.793151
1502628729.3819425	-2257959.73654	6365462.58765	376458.934357
1502628730.3819425	-2287313.27193	6390222.0139	344156.588851
1502628731.3819425	-2311696.73827	6438313.38157	320657.505464
1502628732.3819425	-2274753.26716	6373228.01295	399192.425807
1502628733.3819425	-2251327.60004	6395547.57847	363316.818213
1502628734.3819425	-2267462.57104	6389332.33868	371314.193334
1502628735.3819425	-2267127.68647	6409294.52345	372915.480732
1502628736.3819425	-2279268.9203	6437451.66519	359333.165487
1502628737.3819425	-2274070.97502	6443509.97745	357894.962318
1502628738.3819425	-2256143.34351	6398272.32569	428059.743979
1502628739.3819425	-2252987.08937	6374825.76279	398442.83753
1502628740.3819425	-2264511.52047	6390718.69502	375847.367842
1502628741.3819425	-2218120.67714	6446265.5373	430117.545745
1502628742.3819425	-2208426.3315	6447110.2228	375613.735608
1502628743.3819425	-2177989.22848	6406751.36545	405397.880605
1502628744.3819425	-2237775.84628	6404774.85565	408206.776767
1502628745.3819425	-2172156.98449	6431209.15165	445352.229259
1502628746.3819425	-2201364.84363	6425920.35057	431728.986486
1502628747.3819425	-2185663.81098	6437124.16992	465412.097343
1502628748.3819425	-2205675.84931	6433080.28033	423568.93309
1502628749.3819425	-2187921.9937	6419620.08166	477811.492478
1502628750.3819425	-2207437.19039	6406010.44244	417423.897793
1502628751.3819425	-2169481.59916	6408039.47579	473679.227938
1502628752.3819425	-2175159.1311	6429151.64308	460967.155726
1502628753.3819425	-2152948.36266	6408301.41481	474707.438177
1502628754.3819425	-2140828.27282	6400611.42385	498717.706948
1502628755.3819425	-2118002.34612	6475244.21212	456815.064887
1502628756.3819425	-2170940.25587	6440400.14395	513768.984721
1502628757.3819425	-2169333.03895	6457746.62889	480965.897525
1502628758.3819425	-2163015.49414	6421642.54147	475793.096044
1502628759.3819425	-2113359.70302	6428188.65465	476061.4364
1502628760.3819425	-2129856.09668	6424461.15439	524081.802771
1502628761.3819425	-2134367.04427	6432171.40854	491116.706248
1502628762.3819425	-2077479.29574	6426216.55016	554838.464748
1502628763.3819425	-2083642.01744	6472427.0362	501819.629701
1502628764.3819425	-2130585.46712	6467815.22825	511744.469099
1502628765.3819425	-2104610.15888	6424347.99044	534641.658798
1502628766.3819425	-2110201.45172	6439407.62546	559797.211401
1502628767.3819425	-2098867.19567	6474150.96832	561380.083385
1502628768.3819425	-2076912.12846	6437198.64412	574220.941689
1502628769.3819425	-2101243.78289	6460494.14259	596317.238283
1502628770.3819425	-2060263.13467	6482345.26859	588189.009189
1502628771.3819425	-2080580.89257	6485354.99338	610146.241706
1502628772.3819425	-2049701.12306	6479654.89841	581783.542088
1502628773.3819425	-2016981.32725	6440826.97847	566573.789478
1502628774.3819425	-2040646.50214	6475985.21854	563728.452128
1502628775.3819425	-2067193.86309	6488148.1064	591202.442639
1502628776.3819425	-2018934.70363	6466721.99895	621319.986838
1502628777.3819425	-2033523.95508	6466824.9652	642120.172866
1502628778.3819425	-2001779.69374	6492674.27879	603917.575821
1502628779.3819425	-1991925.08169	6474659.24766	601542.630603
1502628780.3819425	-2017923.75193	6465511.43815	590138.470104
1502628781.3819425	-1975150.2723	6432565.9356	637313.994765
1502628782.3819425	-2006578.8419	6499087.6818	638795.266673
1502628783.3819425	-1965688.69639	6509776.13984	638203.529282
1502628784.3819425	-1968477.25997	6451877.50845	670360.470112
1502628785.3819425	-1948821.13572	6462977.97625	620667.736621
1502628786.3819425	-1976994.14561	6444638.42002	681065.781659
1502628787.3819425	-1948517.89191	6462724.84988	637966.096154
1502628788.3819425	-1942343.58826	6443139.24665	682041.591715
1502628789.3819425	-1979531.39911	6474778.01095	635353.001623
1502628790.3819425	-1970521.36114	6511609.83301	689178.504822
1502628791.3819425	-1983799.81887	6451201.38943	680857.749531
1502628792.3819425	-1932225.57815	6512967.37845	676881.348475
1502628793.3819425	-1907411.75648	6512748.16072	717850.36893
1502628794.3819425	-1899733.85766	6483988.95335	717586.795703
1502628795.3819425	-1924312.98	6509096.52227	675829.727205
1502628796.3819425	-1906061.28894	6521886.79954	687495.508259
1502628797.3819425	-1923092.86377	6496515.43568	732399.52341
1502628798.3819425	-1929438.04508	6493470.7244	698516.72912
1502628799.3819425	-1894292.80649	6500225.92586	697710.035411
1502628800.3819425	-1909531.26619	6513218.18221	705186.099491
1502628801.3819425	-1899707.17521	6468598.76609	766190.991915
1502628802.3819425	-1860989.10732	6517626.21265	713973.423688
1502628803.3819425	-1883191.88698	6465311.27247	776861.071037
1502628804.3819425	-1855392.51905	6471865.23333	749272.942357
1502628805.3819425	-1867502.3263	6510148.44216	753801.138741
1502628806.3819425	-1872173.09602	6483582.8866	728843.585913
1502628807.3819425	-1900500.97	6466354.04368	755800.056284
1502628808.3819425	-1899452.21029	6513674.25488	795589.662648
1502628809.3819425	-1861894.16434	6519407.05083	810719.0436
1502628810.3819425	-1822484.59498	6459926.1846	783778.357424
1502628811.3819425	-1811094.47416	6535287.17417	796580.085682
1502628812.3819425	-1875794.47822	6468918.83809	787861.09578
1502628813.3819425	-1841019.50359	6487208.17122	787661.165015
1502628814.3819425	-1862737.05179	6527719.96723	836022.786545
1502628815.3819425	-1823006.02636	6510810.94441	831132.44405
1502628816.3819425	-1820850.33851	6526901.75488	803054.885244
1502628817.3819425	-1839059.01292	6469138.57678	781361.487812
1502628818.3819425	-1775395.35754	6471106.05958	842482.301633
1502628819.3819425	-1788035.13019	6471820.87367	818864.993218
1502628820.3819425	-1795762.0707	6511294.59712	853393.37604
