time	x	y	z
1502634717.3712316	-2620339.27265	6278575.83748	20619.3335535
1502634718.3712316	-2624710.75893	6276719.34552	26620.1967829
1502634719.3712316	-2629078.92298	6274854.90877	32621.0263178
1502634720.3712316	-2633443.75925	6272982.52959	38621.8145623
1502634721.3712316	-2637805.2622	6271102.2103	44622.5539208
1502634722.3712316	-2642163.42631	6269213.95326	50623.2367976
1502634723.3712316	-2646518.24605	6267317.76084	56623.855597
1502634724.3712316	-2650869.7159	6265413.63542	62624.4027235
1502634725.3712316	-2655217.83033	6263501.57937	68624.8705814
1502634726.3712316	-2659562.58384	6261581.5951	74625.2515751
1502634727.3712316	-2663903.97092	6259653.68501	80625.5381093
1502634728.3712316	-2668241.98605	6257717.85152	86625.7225885
1502634729.3712316	-2672576.62374	6255774.09704	92625.7974175
1502634730.3712316	-2676907.87848	6253822.42402	98625.7550009
1502634731.3712316	-2681235.74479	6251862.8349	104625.587744
1502634732.3712316	-2685560.21718	6249895.33214	110625.288051
1502634733.3712316	-2689881.29016	6247919.91821	116624.848327
1502634734.3712316	-2694198.95826	6245936.59557	122624.260979
1502634735.3712316	-2698513.21598	6243945.36671	128623.51841
1502634736.3712316	-2702824.05788	6241946.23413	134622.613027
1502634737.3712316	-2707131.47847	6239939.20034	140621.537235
1502634738.3712316	-2711435.47229	6237924.26785	146620.28344
1502634739.3712316	-2715736.03388	6235901.43919	152618.844049
1502634740.3712316	-2720033.1578	6233870.71689	158617.211466
1502634741.3712316	-2724326.83858	6231832.10349	164615.3781
1502634742.3712316	-2728617.07079	6229785.60156	170613.336356
1502634743.3712316	-2732903.84898	6227731.21366	176611.078641
1502634744.3712316	-2737187.16771	6225668.94236	182608.597362
1502634745.3712316	-2741467.02155	6223598.79025	188605.884927
1502634746.3712316	-2745743.40508	6221520.75992	194602.933743
1502634747.3712316	-2750016.31286	6219434.85399	200599.736217
1502634748.3712316	-2754285.73948	6217341.07506	206596.284759
1502634749.3712316	-2758551.67953	6215239.42577	212592.571776
1502634750.3712316	-2762814.12758	6213129.90874	218588.589676
1502634751.3712316	-2767073.07824	6211012.52663	224584.33087
1502634752.3712316	-2771328.5261	6208887.28208	230579.787765
1502634753.3712316	-2775580.46576	6206754.17777	236574.952771
1502634754.3712316	-2779828.89184	6204613.21637	242569.818299
1502634755.3712316	-2784073.79893	6202464.40056	248564.376759
1502634756.3712316	-2788315.18167	6200307.73304	254558.62056
1502634757.3712316	-2792553.03465	6198143.21651	260552.542114
1502634758.3712316	-2796787.35252	6195970.85369	266546.133832
1502634759.3712316	-2801018.12989	6193790.64731	272539.388125
1502634760.3712316	-2805245.36141	6191602.6001	278532.297406
1502634761.3712316	-2809469.0417	6189406.7148	284524.854087
1502634762.3712316	-2813689.16542	6187202.99417	290517.050581
1502634763.3712316	-2817905.7272	6184991.44098	296508.8793
1502634764.3712316	-2822118.7217	6182772.058	302500.332659
1502634765.3712316	-2826328.14357	6180544.848	308491.40307
1502634766.3712316	-2830533.98747	6178309.8138	314482.08295
1502634767.3712316	-2834736.24807	6176066.95819	320472.364712
1502634768.3712316	-2838934.92003	6173816.28398	326462.240772
1502634769.3712316	-2843129.99804	6171557.79401	332451.703546
1502634770.3712316	-2847321.47676	6169291.4911	338440.74545
1502634771.3712316	-2851509.35087	6167017.3781	344429.358901
1502634772.3712316	-2855693.61507	6164735.45786	350417.536315
1502634773.3712316	-2859874.26405	6162445.73325	356405.270112
1502634774.3712316	-2864051.2925	6160148.20715	362392.552708
1502634775.3712316	-2868224.69512	6157842.88242	368379.376523
1502634776.3712316	-2872394.46662	6155529.76198	374365.733977
1502634777.3712316	-2876560.60171	6153208.84871	380351.617488
1502634778.3712316	-2880723.0951	6150880.14554	386337.019478
1502634779.3712316	-2884881.9415	6148543.65539	392321.932367
1502634780.3712316	-2889037.13565	6146199.38118	398306.348577
1502634781.3712316	-2893188.67227	6143847.32588	404290.26053
1502634782.3712316	-2897336.5461	6141487.49241	410273.660648
1502634783.3712316	-2901480.75186	6139119.88376	416256.541356
1502634784.3712316	-2905621.2843	6136744.50289	422238.895076
1502634785.3712316	-2909758.13818	6134361.35278	428220.714234
1502634786.3712316	-2913891.30823	6131970.43643	434201.991255
1502634787.3712316	-2918020.78921	6129571.75683	440182.718564
1502634788.3712316	-2922146.57589	6127165.31701	446162.888587
1502634789.3712316	-2926268.66303	6124751.11997	452142.493753
1502634790.3712316	-2930387.04539	6122329.16876	458121.526489
1502634791.3712316	-2934501.71776	6119899.46642	464099.979222
1502634792.3712316	-2938612.67491	6117462.01598	470077.844383
1502634793.3712316	-2942719.91162	6115016.82053	476055.114401
1502634794.3712316	-2946823.42268	6112563.88312	482031.781707
1502634795.3712316	-2950923.20289	6110103.20684	488007.838731
1502634796.3712316	-2955019.24705	6107634.79477	493983.277907
1502634797.3712316	-2959111.54994	6105158.65003	499958.091665
1502634798.3712316	-2963200.10639	6102674.77571	505932.272441
1502634799.3712316	-2967284.9112	6100183.17494	511905.812668
1502634800.3712316	-2971365.95918	6097683.85085	517878.704781
1502634801.3712316	-2975443.24517	6095176.80658	523850.941216
1502634802.3712316	-2979516.76398	6092662.04527	529822.514409
1502634803.3712316	-2983586.51045	6090139.57008	535793.416797
1502634804.3712316	-2987652.47941	6087609.38419	541763.64082
1502634805.3712316	-2991714.6657	6085071.49078	547733.178915
1502634806.3712316	-2995773.06417	6082525.89302	553702.023522
1502634807.3712316	-2999827.66966	6079972.59412	559670.167082
1502634808.3712316	-3003878.47702	6077411.59729	565637.602036
1502634809.3712316	-3007925.48113	6074842.90574	571604.320827
1502634810.3712316	-3011968.67684	6072266.52271	577570.315897
1502634811.3712316	-3016008.05901	6069682.45142	583535.579691
1502634812.3712316	-3020043.62253	6067090.69513	589500.104653
1502634813.3712316	-3024075.36227	6064491.25709	595463.883229
1502634814.3712316	-3028103.27311	6061884.14057	601426.907865
1502634815.3712316	-3032127.34995	6059269.34884	607389.17101
1502634816.3712316	-3036147.58767	6056646.88519	613350.665112
1502634817.3712316	-3040163.98117	6054016.75292	619311.382619
1502634818.3712316	-3044176.52535	6051378.95533	625271.315983
1502634819.3712316	-3048185.21513	6048733.49573	631230.457654
1502634820.3712316	-3052190.04541	6046080.37746	637188.800085
1502634821.3712316	-3056191.0111	6043419.60384	643146.335729
1502634822.3712316	-3060188.10714	6040751.17822	649103.057039
1502634823.3712316	-3064181.32844	6038075.10395	655058.956472
1502634824.3712316	-3068170.66994	6035391.3844	661014.026483
1502634825.3712316	-3072156.12657	6032700.02294	666968.259529
1502634826.3712316	-3076137.69328	6030001.02295	672921.648068
1502634827.3712316	-3080115.36502	6027294.38782	678874.18456
1502634828.3712316	-3084089.13672	6024580.12096	684825.861464
1502634829.3712316	-3088059.00335	6021858.22578	690776.671242
1502634830.3712316	-3092024.95987	6019128.70571	696726.606356
1502634831.3712316	-3095987.00124	6016391.56416	702675.65927
1502634832.3712316	-3099945.12244	6013646.80459	708623.822447
1502634833.3712316	-3103899.31843	6010894.43044	714571.088353
1502634834.3712316	-3107849.58421	6008134.44517	720517.449455
1502634835.3712316	-3111795.91475	6005366.85226	726462.89822
1502634836.3712316	-3115738.30505	6002591.65518	732407.427117
1502634837.3712316	-3119676.75009	5999808.85742	738351.028615
1502634838.3712316	-3123611.24489	5997018.46248	744293.695187
1502634839.3712316	-3127541.78444	5994220.47388	750235.419303
1502634840.3712316	-3131468.36376	5991414.89512	756176.193438
1502634841.3712316	-3135390.97786	5988601.72974	762116.010065
1502634842.3712316	-3139309.62176	5985780.98127	768054.86166
1502634843.3712316	-3143224.29048	5982952.65326	773992.740699
1502634844.3712316	-3147134.97906	5980116.74927	779929.639662
1502634845.3712316	-3151041.68254	5977273.27285	785865.551026
1502634846.3712316	-3154944.39594	5974422.2276	791800.467272
1502634847.3712316	-3158843.11431	5971563.61709	797734.380882
1502634848.3712316	-3162737.83272	5968697.44493	803667.284338
1502634849.3712316	-3166628.5462	5965823.7147	809599.170125
1502634850.3712316	-3170515.24983	5962942.43003	815530.030727
1502634851.3712316	-3174397.93866	5960053.59455	821459.85863
1502634852.3712316	-3178276.60777	5957157.21187	827388.646324
1502634853.3712316	-3182151.25222	5954253.28566	833316.386296
1502634854.3712316	-3186021.86712	5951341.81956	839243.071037
1502634855.3712316	-3189888.44752	5948422.81723	845168.693038
1502634856.3712316	-3193750.98854	5945496.28234	851093.244792
1502634857.3712316	-3197609.48526	5942562.21858	857016.718794
1502634858.3712316	-3201463.93278	5939620.62963	862939.107538
1502634859.3712316	-3205314.32621	5936671.5192	868860.403523
1502634860.3712316	-3209160.66066	5933714.891	874780.599244
