time,x,y,z
1500453683.4058185,1500457331.152458,551.6968802199999,-2885.7800851819998
1500453684.4058185,1500457342.5106888,573.5309973200001,-2878.6365658009995
1500453685.4058185,1500457339.4435546,582.0184627900003,-2838.9147098229996
1500453686.4058185,1500457351.6412446,613.6019617299999,-2830.3571979539997
1500453687.4058185,1500457324.6748555,570.2627337400004,-2855.986361665
1500453688.4058185,1500457314.7860663,573.2196793700004,-2860.4816932659996
1500453689.4058185,1500457327.8230042,623.78352834,-2797.68726504
1500453690.4058185,1500457350.9093328,655.78172292,-2813.066274244
1500453691.4058185,1500457329.8412118,618.6296705099999,-2808.349764973
1500453692.4058185,1500457341.6928043,658.8949341500002,-2785.014197998
1500453693.4058185,1500457340.8780782,665.5999089400002,-2786.1058084329998
1500453694.4058185,1500457338.8354418,653.9632058400002,-2809.0463002489996
1500453695.4058185,1500457341.4808624,672.52153026,-2788.542378036
1500453696.4058185,1500457339.1281002,687.5414195100002,-2771.577475708
1500453697.4058185,1500457338.2920785,668.7392528300002,-2802.1870587639996
1500453698.4058185,1500457318.0855432,659.3676952599999,-2792.369872262
1500453699.4058185,1500457320.7769465,667.5158589599996,-2791.8902618850007
1500453700.4058185,1500457340.5744483,710.3587670399997,-2754.995578318
1500453701.4058185,1500457325.7794292,705.4196706999996,-2756.029009747
1500453702.4058185,1500457315.5460815,712.4462343900004,-2725.5060563939996
1500453703.4058185,1500457320.8111236,713.1929405299998,-2761.176732424
1500453704.4058185,1500457348.1307218,780.0230374599996,-2714.469567807
1500453705.4058185,1500457343.1222548,766.9963248799995,-2701.375871128
1500453706.4058185,1500457332.2852886,767.1242501699999,-2718.951762046
1500453707.4058185,1500457312.2646582,758.1189707099998,-2695.800921169
1500453708.4058185,1500457322.2902012,766.3266104299996,-2690.7119469810004
1500453709.4058185,1500457343.5572848,812.28106957,-2661.365487851
1500453710.4058185,1500457333.451318,795.1436935100005,-2673.390398611
1500453711.4058185,1500457342.3979485,814.8858233700003,-2662.1442506649996
1500453712.4058185,1500457323.2482102,805.8946615199998,-2651.2858735510003
1500453713.4058185,1500457315.64594,815.1353831400002,-2655.08160036
1500453714.4058185,1500457313.7596123,803.6432791999996,-2681.446573238
1500453715.4058185,1500457304.2992253,804.0402472400001,-2665.269391198
1500453716.4058185,1500457311.0693936,839.4503050200001,-2628.352334099
1500453717.4058185,1500457309.4385428,826.7635322900001,-2647.5252533929997
1500453718.4058185,1500457336.100527,861.8406463900001,-2654.8411074819996
1500453719.4058185,1500457316.4640071,855.3481300400003,-2631.975531513
1500453720.4058185,1500457314.0149927,863.6425973599999,-2612.236890009
1500453721.4058185,1500457311.2555087,868.2668471400002,-2623.8997143108
1500453722.4058185,1500457304.9490383,867.8480191199997,-2607.5848692340005
1500453723.4058185,1500457306.5748315,880.8943179000003,-2603.8068200216003
1500453724.4058185,1500457331.5511398,926.4021632100003,-2600.4329360577
1500453725.4058185,1500457310.928218,911.6268569099998,-2594.4846871218
1500453726.4058185,1500457328.6212971,933.0728768099998,-2582.6178322112
1500453727.4058185,1500457308.4243567,945.0136766400001,-2528.649689901
1500453728.4058185,1500457294.7397568,926.98755863,-2567.3070404861
1500453729.4058185,1500457331.48425,990.0565481200006,-2523.9087900501995
1500453730.4058185,1500457304.580487,969.8891906199997,-2539.914353774
1500453731.4058185,1500457315.4724057,960.5740786800002,-2562.9817575047
1500453732.4058185,1500457290.5958638,957.33103162,-2525.5833191974
1500453733.4058185,1500457306.8262522,999.2745091700008,-2489.0468405422
1500453734.4058185,1500457317.7238917,1008.7265764999997,-2494.2773639073002
1500453735.4058185,1500457301.5306177,986.1440122700001,-2504.7333158647
1500453736.4058185,1500457295.8469968,1008.1279196300002,-2474.3276495815
1500453737.4058185,1500457287.2604227,1010.5710984399998,-2488.2497305194
1500453738.4058185,1500457291.5228786,1015.2416732000002,-2473.0088825863
1500453739.4058185,1500457289.0720668,1013.7068762100002,-2479.9072800798
1500453740.4058185,1500457309.2904034,1059.79609122,-2452.6131113745996
1500453741.4058185,1500457308.6049075,1086.18552757,-2448.7656689457
1500453742.4058185,1500457304.095264,1088.8582387400002,-2447.1979714033
1500453743.4058185,1500457286.3407404,1058.7234216299998,-2436.8319069831
1500453744.4058185,1500457303.7962832,1075.2443143899995,-2437.1387137270003
1500453745.4058185,1500457296.126025,1086.1198187099994,-2423.8976118577
1500453746.4058185,1500457295.3765938,1098.5378135100004,-2408.852983841
1500453747.4058185,1500457294.8285954,1094.4196105299993,-2431.8008798763003
1500453748.4058185,1500457312.8252783,1121.3151304399998,-2430.4866132354
1500453749.4058185,1500457293.9464772,1146.7045831000005,-2394.6594270533
1500453750.4058185,1500457311.2322924,1157.1332038200003,-2405.7330914482895
1500453751.4058185,1500457271.8666568,1128.16706295,-2397.44457285295
1500453752.4058185,1500457270.4350924,1115.56161888,-2407.2535391242604
1500453753.4058185,1500457270.0728471,1154.6556699799999,-2365.84511438842
1500453754.4058185,1500457294.2212434,1194.1300702400004,-2330.2298829628994
1500453755.4058185,1500457303.1510456,1193.9866383499998,-2351.37770069304
1500453756.4058185,1500457302.2422788,1220.0684553,-2346.6594678115
1500453757.4058185,1500457270.214535,1175.6208399900001,-2330.2852129673397
1500453758.4058185,1500457272.4666035,1203.85209489,-2318.25285323238
1500453759.4058185,1500457272.8806121,1189.61599801,-2333.8080290957
1500453760.4058185,1500457286.8771183,1231.28182608,-2303.2869751459502
